		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
17/08/15	12:01 a	24.3	24.3	24.3	91	22.7	1.3	E	0.08	2.2	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	22	1	95.7	1
17/08/15	12:02 a	24.3	24.3	24.3	91	22.7	0.9	E	0.05	1.8	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.6	35.4	9.04	 .0701	0.00	21	1	91.3	1
17/08/15	12:03 a	24.3	24.3	24.3	91	22.8	0.4	E	0.03	1.8	E	24.3	26.3	26.3	25.6	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	24	1	100.0	1
17/08/15	12:04 a	24.3	24.3	24.3	91	22.8	0.4	E	0.03	0.9	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	23	1	100.0	1
17/08/15	12:05 a	24.3	24.3	24.3	91	22.8	0.0	E	0.00	0.4	E	24.3	26.3	26.3	25.6	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	23	1	100.0	1
17/08/15	12:06 a	24.3	24.3	24.3	91	22.8	0.0	E	0.00	0.4	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	24	1	100.0	1
17/08/15	12:07 a	24.3	24.3	24.3	91	22.8	0.4	E	0.03	0.9	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.4	50	20.7	35.5	9.03	 .0701	0.00	23	1	100.0	1
17/08/15	12:08 a	24.3	24.3	24.3	91	22.8	0.4	E	0.03	0.4	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.5	50	20.7	35.6	9.03	 .0701	0.00	24	1	100.0	1
17/08/15	12:09 a	24.3	24.3	24.3	91	22.8	0.4	E	0.03	0.9	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.6	50	20.8	35.7	9.03	 .0701	0.00	23	1	100.0	1
17/08/15	12:10 a	24.3	24.3	24.3	91	22.8	0.0	E	0.00	0.9	E	24.3	26.3	26.3	25.6	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.6	50	20.8	35.7	9.03	 .0701	0.00	24	1	100.0	1
17/08/15	12:11 a	24.4	24.4	24.4	91	22.8	0.0	---	0.00	0.0	---	24.4	26.4	26.4	25.7	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.6	50	20.8	35.7	9.03	 .0701	0.00	23	1	100.0	1
17/08/15	12:12 a	24.4	24.4	24.4	91	22.9	0.0	---	0.00	0.0	---	24.4	26.4	26.4	25.8	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.6	50	20.8	35.8	9.02	 .0701	0.00	23	1	100.0	1
17/08/15	12:13 a	24.4	24.4	24.4	91	22.9	0.0	E	0.00	0.4	E	24.4	26.4	26.4	25.8	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.6	50	20.8	35.8	9.02	 .0701	0.00	24	1	100.0	1
17/08/15	12:14 a	24.5	24.5	24.4	91	22.9	0.0	E	0.00	0.4	E	24.5	26.6	26.6	25.9	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	35.9	9.02	 .0700	0.00	23	1	100.0	1
17/08/15	12:15 a	24.5	24.5	24.5	91	22.9	0.0	E	0.00	0.9	E	24.5	26.6	26.6	25.9	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	35.9	9.02	 .0700	0.00	24	1	100.0	1
17/08/15	12:16 a	24.5	24.5	24.5	91	22.9	0.0	E	0.00	0.9	E	24.5	26.6	26.6	25.9	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	35.9	9.02	 .0700	0.00	23	1	100.0	1
17/08/15	12:17 a	24.5	24.5	24.5	91	22.9	0.0	E	0.00	0.9	E	24.5	26.6	26.6	25.9	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	36.1	9.01	 .0700	0.00	23	1	100.0	1
17/08/15	12:18 a	24.5	24.5	24.5	91	22.9	1.3	E	0.08	2.2	E	24.5	26.6	26.6	25.9	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	36.1	9.01	 .0700	0.00	24	1	100.0	1
17/08/15	12:19 a	24.5	24.5	24.5	91	22.9	0.9	E	0.05	1.8	E	24.5	26.6	26.6	25.9	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.7	50	20.9	36.1	9.01	 .0700	0.00	23	1	100.0	1
17/08/15	12:20 a	24.5	24.5	24.5	90	22.8	0.9	E	0.05	1.8	E	24.5	26.4	26.4	25.7	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.2	9.01	 .0700	0.00	24	1	100.0	1
17/08/15	12:21 a	24.4	24.5	24.4	91	22.9	0.4	E	0.03	1.3	E	24.4	26.4	26.4	25.8	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.2	9.01	 .0700	0.00	23	1	100.0	1
17/08/15	12:22 a	24.4	24.4	24.4	90	22.7	1.8	ESE	0.11	2.7	ESE	24.4	26.4	26.4	25.7	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.2	9.01	 .0700	0.00	24	1	100.0	1
17/08/15	12:23 a	24.4	24.4	24.4	90	22.7	1.8	ESE	0.11	2.2	ESE	24.4	26.4	26.4	25.7	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.3	9.01	 .0699	0.00	23	1	100.0	1
17/08/15	12:24 a	24.4	24.4	24.4	90	22.7	1.8	ESE	0.11	2.2	ESE	24.4	26.4	26.4	25.7	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.3	9.01	 .0699	0.00	23	1	100.0	1
17/08/15	12:25 a	24.4	24.4	24.4	90	22.6	0.9	ESE	0.05	1.8	ESE	24.4	26.3	26.3	25.6	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.3	9.01	 .0699	0.00	24	1	100.0	1
17/08/15	12:26 a	24.4	24.4	24.4	91	22.8	1.3	ESE	0.08	2.2	ESE	24.4	26.4	26.4	25.7	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.3	9.01	 .0699	0.00	23	1	100.0	1
17/08/15	12:27 a	24.4	24.4	24.4	91	22.9	0.9	ESE	0.05	2.2	ESE	24.4	26.4	26.4	25.8	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.8	50	21.0	36.3	9.01	 .0699	0.00	24	1	100.0	1
17/08/15	12:28 a	24.4	24.4	24.4	91	22.9	1.3	ESE	0.08	3.1	ESE	24.4	26.4	26.4	25.8	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.4	9.00	 .0699	0.00	23	1	100.0	1
17/08/15	12:29 a	24.4	24.4	24.4	91	22.9	0.9	ESE	0.05	3.1	ESE	24.4	26.4	26.4	25.8	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.4	9.00	 .0699	0.00	23	1	100.0	1
17/08/15	12:30 a	24.4	24.4	24.4	91	22.9	0.9	ESE	0.05	2.2	ESE	24.4	26.4	26.4	25.8	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.4	9.00	 .0699	0.00	24	1	100.0	1
17/08/15	12:31 a	24.4	24.4	24.4	91	22.9	1.8	ESE	0.11	3.1	ESE	24.4	26.4	26.4	25.8	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.4	9.00	 .0699	0.00	23	1	100.0	1
17/08/15	12:32 a	24.4	24.4	24.4	91	22.9	1.8	ESE	0.11	2.7	ESE	24.4	26.4	26.4	25.8	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.5	9.00	 .0699	0.00	24	1	100.0	1
17/08/15	12:33 a	24.4	24.4	24.4	91	22.9	0.4	ESE	0.03	2.2	ESE	24.4	26.4	26.4	25.8	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.5	9.00	 .0699	0.00	23	1	100.0	1
17/08/15	12:34 a	24.4	24.4	24.4	91	22.9	1.3	ESE	0.08	2.7	E	24.4	26.4	26.4	25.8	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	32.9	50	21.1	36.5	9.00	 .0699	0.00	24	1	100.0	1
17/08/15	12:35 a	24.4	24.4	24.4	91	22.9	0.9	E	0.05	1.8	E	24.4	26.4	26.4	25.8	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	33.0	50	21.2	36.6	8.99	 .0698	0.00	23	1	100.0	1
17/08/15	12:36 a	24.4	24.4	24.4	91	22.9	0.4	E	0.03	0.9	E	24.4	26.4	26.4	25.8	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	33.0	50	21.2	36.6	8.99	 .0698	0.00	23	1	100.0	1
17/08/15	12:37 a	24.4	24.4	24.4	91	22.9	0.4	E	0.03	2.2	E	24.4	26.4	26.4	25.8	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	33.0	50	21.2	36.6	8.99	 .0698	0.00	24	1	100.0	1
