		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
04/05/15	12:15 a	28.7	28.7	28.5	72	23.2	0.0	ENE	0.00	0.9	ENE	28.7	32.7	32.7	32.0	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.108	34.9	46	21.6	39.6	8.25	 .0693	0.00	350	1	100.0	15
04/05/15	12:30 a	28.9	28.9	28.7	71	23.1	0.4	ENE	0.40	1.8	ENE	28.9	32.9	32.9	32.2	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.110	35.1	46	21.8	39.9	8.25	 .0693	0.00	352	1	100.0	15
04/05/15	12:45 a	29.1	29.1	28.9	70	23.0	0.0	ENE	0.00	1.8	ENE	29.1	33.1	33.1	32.3	755.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.112	35.2	46	21.8	40.1	8.24	 .0692	0.00	351	1	100.0	15
04/05/15	1:00 a	28.9	29.1	28.9	70	22.9	0.4	ENE	0.40	1.8	ENE	28.9	32.8	32.8	32.1	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.111	35.2	46	21.8	40.1	8.24	 .0692	0.03	351	1	100.0	15
04/05/15	1:15 a	28.8	28.9	28.8	70	22.8	0.4	ENE	0.40	1.8	ENE	28.8	32.6	32.6	31.9	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	35.2	46	21.9	40.2	8.24	 .0692	0.00	351	1	100.0	15
04/05/15	1:30 a	28.9	28.9	28.8	70	22.9	0.0	ENE	0.00	0.9	ENE	28.9	32.7	32.7	32.0	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.110	35.3	46	21.9	40.3	8.24	 .0692	0.00	352	1	100.0	15
04/05/15	1:45 a	28.9	28.9	28.9	69	22.7	0.0	ENE	0.00	0.4	ENE	28.9	32.7	32.7	31.9	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.111	35.3	46	22.0	40.4	8.24	 .0691	0.00	351	1	100.0	15
04/05/15	2:00 a	28.8	28.9	28.8	69	22.5	0.0	ENE	0.00	0.9	ENE	28.8	32.3	32.3	31.6	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	35.3	46	22.0	40.4	8.24	 .0691	0.03	351	1	100.0	15
04/05/15	2:15 a	28.6	28.8	28.6	71	22.8	0.0	ENE	0.00	0.4	ENE	28.6	32.1	32.1	31.3	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.106	35.3	46	22.0	40.4	8.24	 .0691	0.00	351	1	100.0	15
04/05/15	2:30 a	28.4	28.6	28.4	71	22.7	0.0	---	0.00	0.0	---	28.4	31.8	31.8	31.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.105	35.3	46	22.0	40.4	8.24	 .0691	0.00	351	1	100.0	15
04/05/15	2:45 a	28.4	28.5	28.4	72	22.9	0.0	---	0.00	0.0	---	28.4	31.8	31.8	31.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.105	35.3	46	22.0	40.4	8.24	 .0691	0.00	352	1	100.0	15
