		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
31/12/14	12:10 a	25.6	25.7	25.6	88	23.4	1.8	NNE	1.07	2.7	NNE	25.6	28.1	28.1	27.4	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	29.9	61	21.6	33.1	10.92	 .0704	0.00	233	1	100.0	10
31/12/14	12:20 a	25.4	25.6	25.4	88	23.3	1.3	N	0.80	2.7	N	25.4	27.9	27.9	27.2	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	29.9	61	21.6	33.1	10.92	 .0704	0.00	234	1	100.0	10
31/12/14	12:30 a	25.4	25.4	25.4	88	23.3	1.3	NW	0.80	2.7	N	25.4	27.9	27.9	27.2	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	29.9	61	21.6	33.1	10.92	 .0704	0.00	234	1	100.0	10
31/12/14	12:40 a	25.5	25.5	25.4	87	23.2	0.4	NW	0.27	2.2	NW	25.5	27.9	27.9	27.2	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	29.8	61	21.5	32.9	10.92	 .0704	0.00	234	1	100.0	10
31/12/14	12:50 a	25.6	25.6	25.5	86	23.0	0.9	NW	0.54	2.2	NW	25.6	27.9	27.9	27.2	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	29.8	61	21.5	32.9	10.92	 .0704	0.00	235	1	100.0	10
31/12/14	1:00 a	25.6	25.6	25.6	86	23.1	1.3	NW	0.80	2.7	WNW	25.6	28.0	28.0	27.3	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.051	29.8	61	21.4	32.8	10.93	 .0705	0.03	234	1	100.0	10
31/12/14	1:10 a	25.6	25.6	25.6	87	23.2	1.3	WNW	0.80	2.7	WNW	25.6	28.0	28.0	27.3	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	29.8	61	21.4	32.8	10.93	 .0705	0.00	234	1	100.0	10
31/12/14	1:20 a	25.4	25.6	25.4	87	23.1	1.3	WNW	0.80	2.7	WNW	25.4	27.8	27.8	27.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	29.8	61	21.4	32.8	10.93	 .0704	0.00	234	1	100.0	10
31/12/14	1:30 a	25.3	25.4	25.3	88	23.2	1.8	W	1.07	3.1	W	25.3	27.7	27.7	26.9	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	29.8	61	21.4	32.8	10.93	 .0704	0.00	234	1	100.0	10
31/12/14	1:40 a	25.3	25.3	25.2	87	23.0	1.8	WNW	1.07	3.1	WNW	25.3	27.6	27.6	26.8	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.048	29.7	61	21.4	32.7	10.93	 .0704	0.00	234	1	100.0	10
31/12/14	1:50 a	25.2	25.3	25.2	87	22.9	1.3	NW	0.80	2.2	N	25.2	27.4	27.4	26.7	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.048	29.7	61	21.4	32.7	10.93	 .0704	0.00	234	1	100.0	10
31/12/14	2:00 a	25.2	25.2	25.2	86	22.7	1.8	WNW	1.07	3.1	WNW	25.2	27.3	27.3	26.6	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	29.7	61	21.4	32.7	10.93	 .0704	0.03	235	1	100.0	10
31/12/14	2:10 a	25.2	25.2	25.2	86	22.7	1.3	WNW	0.80	2.7	WNW	25.2	27.3	27.3	26.6	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	29.7	61	21.3	32.6	10.93	 .0705	0.00	234	1	100.0	10
31/12/14	2:20 a	25.1	25.2	25.1	86	22.6	1.3	WNW	0.80	2.7	WNW	25.1	27.2	27.2	26.5	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	29.7	61	21.3	32.6	10.93	 .0705	0.00	234	1	100.0	10
31/12/14	2:30 a	25.0	25.1	25.0	87	22.7	0.9	WNW	0.54	2.2	WNW	25.0	27.1	27.1	26.4	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	29.7	61	21.3	32.6	10.93	 .0704	0.00	234	1	100.0	10
31/12/14	2:40 a	24.8	25.0	24.8	88	22.7	1.3	WNW	0.80	2.7	WNW	24.8	26.9	26.9	26.2	754.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.045	29.6	61	21.3	32.4	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	2:50 a	24.7	24.8	24.7	89	22.8	0.9	W	0.54	2.2	W	24.7	26.8	26.8	26.1	754.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	29.6	61	21.3	32.4	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	3:00 a	24.7	24.7	24.7	89	22.7	0.9	W	0.54	1.8	W	24.7	26.7	26.7	25.9	754.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	29.6	61	21.3	32.4	10.94	 .0705	0.03	235	1	100.0	10
31/12/14	3:10 a	24.7	24.7	24.7	89	22.7	0.9	W	0.54	1.8	W	24.7	26.7	26.7	25.9	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	3:20 a	24.6	24.7	24.6	89	22.7	0.9	W	0.54	2.2	W	24.6	26.6	26.6	25.9	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	3:30 a	24.6	24.6	24.6	89	22.6	1.3	WSW	0.80	2.2	WSW	24.6	26.5	26.5	25.8	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.043	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	3:40 a	24.5	24.6	24.5	89	22.6	0.4	WSW	0.27	1.8	WSW	24.5	26.4	26.4	25.7	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.043	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	3:50 a	24.4	24.5	24.4	90	22.7	0.9	WSW	0.54	1.8	WSW	24.4	26.4	26.4	25.7	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	4:00 a	24.4	24.4	24.4	89	22.5	1.3	WSW	0.80	2.7	WSW	24.4	26.3	26.3	25.6	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	29.6	61	21.2	32.3	10.94	 .0705	0.03	234	1	100.0	10
31/12/14	4:10 a	24.3	24.4	24.3	89	22.3	1.8	WSW	1.07	3.1	WSW	24.3	26.2	26.2	25.4	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	29.6	61	21.2	32.3	10.94	 .0705	0.00	235	1	100.0	10
31/12/14	4:20 a	24.2	24.3	24.2	89	22.3	1.8	WSW	1.07	3.6	WSW	24.2	26.1	26.1	25.4	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	29.6	61	21.2	32.3	10.94	 .0705	0.00	234	1	100.0	10
31/12/14	4:30 a	24.1	24.2	24.1	89	22.1	2.2	WSW	1.34	3.6	WSW	24.1	25.9	25.9	25.2	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.040	29.5	61	21.2	32.2	10.95	 .0706	0.00	234	1	100.0	10
31/12/14	4:40 a	24.0	24.1	23.9	90	22.3	2.2	WSW	1.34	3.6	W	24.0	25.9	25.9	25.2	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.039	29.4	61	21.1	32.1	10.95	 .0706	0.00	234	1	100.0	10
31/12/14	4:50 a	23.9	24.0	23.9	90	22.1	2.2	SW	1.34	3.1	SW	23.9	25.8	25.8	25.1	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.039	29.4	61	21.1	32.1	10.95	 .0706	0.00	234	1	100.0	10
31/12/14	5:00 a	23.8	23.9	23.8	90	22.1	1.8	WSW	1.07	3.1	SW	23.8	25.7	25.7	24.9	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	29.4	61	21.1	32.1	10.95	 .0706	0.03	234	1	100.0	10
31/12/14	5:10 a	23.8	23.9	23.8	90	22.1	1.8	WSW	1.07	2.7	WSW	23.8	25.7	25.7	24.9	755.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	29.4	61	21.1	32.0	10.95	 .0707	0.00	234	1	100.0	10
31/12/14	5:20 a	23.9	23.9	23.8	90	22.1	1.8	WSW	1.07	2.7	WSW	23.9	25.8	25.8	25.1	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.039	29.4	61	21.1	32.0	10.95	 .0707	0.00	235	1	100.0	10
31/12/14	5:30 a	23.8	23.9	23.8	90	22.1	1.3	WSW	0.80	2.7	WSW	23.8	25.7	25.7	24.9	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	29.3	61	21.0	31.9	10.95	 .0707	0.00	234	1	100.0	10
31/12/14	5:40 a	23.8	23.8	23.8	90	22.1	1.3	WSW	0.80	3.1	WSW	23.8	25.7	25.7	24.9	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	29.3	61	21.0	31.9	10.95	 .0707	0.00	234	1	100.0	10
31/12/14	5:50 a	23.8	23.8	23.8	90	22.1	1.3	WSW	0.80	2.7	WSW	23.8	25.7	25.7	25.0	755.8	0.00	0.0	4	0.06	9	0.0	0.00	0.0	0.000	0.038	29.3	61	21.0	31.9	10.95	 .0707	0.00	234	1	100.0	10
31/12/14	6:00 a	23.8	23.8	23.8	89	21.9	1.3	WSW	0.80	3.1	WSW	23.8	25.6	25.6	25.1	756.0	0.00	0.0	16	0.23	21	0.0	0.00	0.0	0.000	0.038	29.3	61	21.0	31.9	10.95	 .0707	0.03	234	1	100.0	10
31/12/14	6:10 a	23.8	23.9	23.8	89	21.9	1.3	WSW	0.80	2.7	WSW	23.8	25.6	25.6	25.2	756.1	0.00	0.0	25	0.36	26	0.0	0.00	0.0	0.000	0.038	29.3	61	21.0	31.9	10.95	 .0707	0.00	234	1	100.0	10
