		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
26/12/14	12:10 a	22.3	22.4	22.3	87	20.1	1.8	SSE	1.07	3.1	SSE	22.3	23.4	23.4	22.7	758.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	30.2	55	20.1	32.4	9.82	 .0708	0.00	233	1	100.0	10
26/12/14	12:20 a	22.3	22.3	22.2	87	20.0	2.2	SSE	1.34	4.0	SSE	22.3	23.4	23.4	22.6	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	30.2	54	19.8	32.2	9.72	 .0709	0.00	234	1	100.0	10
26/12/14	12:30 a	22.2	22.3	22.2	87	19.9	1.8	SSE	1.07	3.6	SSE	22.2	23.3	23.3	22.4	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	30.1	54	19.7	32.0	9.73	 .0709	0.00	234	1	100.0	10
26/12/14	12:40 a	22.1	22.2	22.1	87	19.8	1.8	S	1.07	4.0	SW	22.1	23.2	23.2	22.4	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	30.1	54	19.7	32.0	9.73	 .0709	0.00	234	1	100.0	10
26/12/14	12:50 a	22.1	22.1	22.1	87	19.8	1.8	S	1.07	4.0	S	22.1	23.2	23.2	22.4	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	30.0	54	19.7	31.9	9.73	 .0709	0.00	235	1	100.0	10
26/12/14	1:00 a	22.1	22.1	22.1	86	19.7	1.8	S	1.07	3.6	SSE	22.1	23.2	23.2	22.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	29.9	54	19.6	31.8	9.73	 .0709	0.03	234	1	100.0	10
26/12/14	1:10 a	22.1	22.1	22.1	86	19.7	1.8	SSE	1.07	4.0	SSW	22.1	23.2	23.2	22.3	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	29.9	54	19.6	31.7	9.73	 .0709	0.00	234	1	100.0	10
26/12/14	1:20 a	22.1	22.1	22.0	86	19.6	2.2	S	1.34	4.5	SSE	22.1	23.1	23.1	22.3	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	29.9	54	19.6	31.7	9.73	 .0709	0.00	234	1	100.0	10
26/12/14	1:30 a	22.0	22.1	22.0	86	19.5	2.2	S	1.34	4.0	SSE	22.0	23.1	23.1	22.2	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	29.8	54	19.5	31.6	9.74	 .0709	0.00	234	1	100.0	10
26/12/14	1:40 a	21.9	22.0	21.9	86	19.5	1.8	S	1.07	4.0	SSW	21.9	23.0	23.0	22.2	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	29.8	54	19.5	31.5	9.74	 .0709	0.00	234	1	100.0	10
26/12/14	1:50 a	21.9	21.9	21.9	86	19.5	2.2	S	1.34	4.0	S	21.9	23.0	23.0	22.2	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	29.7	54	19.4	31.4	9.74	 .0709	0.00	234	1	100.0	10
