		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
26/02/15	12:15 a	25.1	25.4	25.1	84	22.2	0.4	W	0.40	1.8	W	25.1	27.1	27.1	26.3	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	32.1	50	20.3	34.8	9.05	 .0702	0.00	350	1	100.0	15
26/02/15	12:30 a	25.0	25.1	25.0	84	22.1	0.0	W	0.00	0.9	W	25.0	26.9	26.9	26.1	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	32.1	50	20.4	34.9	9.05	 .0701	0.00	351	1	100.0	15
26/02/15	12:45 a	24.9	25.0	24.9	85	22.2	0.0	---	0.00	0.0	---	24.9	26.8	26.8	26.0	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	32.1	50	20.3	34.8	9.05	 .0702	0.00	352	1	100.0	15
26/02/15	1:00 a	24.8	24.9	24.8	85	22.1	0.0	W	0.00	0.4	W	24.8	26.8	26.8	25.9	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	32.1	50	20.3	34.8	9.05	 .0701	0.03	351	1	100.0	15
26/02/15	1:15 a	24.8	24.8	24.8	86	22.3	0.4	W	0.40	1.8	W	24.8	26.7	26.7	25.9	755.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.067	32.1	50	20.3	34.8	9.05	 .0701	0.00	351	1	100.0	15
26/02/15	1:30 a	24.8	24.8	24.7	86	22.3	0.4	S	0.40	1.8	WSW	24.8	26.7	26.7	25.9	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.067	32.0	50	20.3	34.7	9.05	 .0702	0.00	351	1	100.0	15
26/02/15	1:45 a	24.7	24.8	24.7	86	22.2	0.9	S	0.80	2.7	S	24.7	26.7	26.7	25.8	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.067	31.9	51	20.5	34.9	9.16	 .0701	0.00	351	1	100.0	15
26/02/15	2:00 a	24.7	24.7	24.7	86	22.2	0.9	SSW	0.80	2.7	SSW	24.7	26.7	26.7	25.8	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.067	31.8	51	20.4	34.7	9.16	 .0702	0.03	352	1	100.0	15
26/02/15	2:15 a	24.7	24.7	24.7	86	22.2	0.4	SSW	0.40	1.8	SSW	24.7	26.6	26.6	25.7	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	31.8	51	20.4	34.7	9.16	 .0702	0.00	351	1	100.0	15
26/02/15	2:30 a	24.6	24.7	24.6	86	22.1	0.9	SSW	0.80	2.2	SSW	24.6	26.5	26.5	25.7	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	31.8	51	20.4	34.7	9.16	 .0702	0.00	351	1	100.0	15
26/02/15	2:45 a	24.6	24.7	24.6	86	22.1	0.4	S	0.40	2.2	SSW	24.6	26.5	26.5	25.7	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	31.8	51	20.4	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	3:00 a	24.6	24.6	24.6	86	22.1	0.9	SSW	0.80	2.7	SSW	24.6	26.5	26.5	25.7	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	31.7	51	20.3	34.6	9.17	 .0702	0.03	352	1	100.0	15
26/02/15	3:15 a	24.6	24.6	24.6	86	22.1	0.4	SSW	0.40	2.2	SSW	24.6	26.4	26.4	25.6	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	31.7	51	20.3	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	3:30 a	24.4	24.6	24.4	86	21.9	0.0	SSW	0.00	0.9	SSW	24.4	26.3	26.3	25.4	755.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	3:45 a	24.4	24.5	24.4	86	21.9	0.0	SSW	0.00	1.3	SSW	24.4	26.3	26.3	25.4	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	4:00 a	24.5	24.5	24.4	86	22.0	0.0	SSW	0.00	1.8	SSW	24.5	26.3	26.3	25.5	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.6	9.17	 .0702	0.03	352	1	100.0	15
26/02/15	4:15 a	24.4	24.5	24.4	86	21.9	0.0	SSW	0.00	0.4	SSW	24.4	26.3	26.3	25.4	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	4:30 a	24.4	24.4	24.4	86	21.9	0.0	SSW	0.00	0.9	SSW	24.4	26.3	26.3	25.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.6	9.17	 .0702	0.00	351	1	100.0	15
26/02/15	4:45 a	24.5	24.5	24.4	86	22.0	0.0	SSW	0.00	0.9	SSW	24.5	26.3	26.3	25.5	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	31.7	51	20.3	34.4	9.17	 .0703	0.00	351	1	100.0	15
