		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
22/06/14	12:10 a	29.7	29.7	29.7	60	21.1	5.4	E	3.22	11.6	ENE	28.9	32.3	31.6	31.0	755.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.079	36.7	38	20.0	40.3	6.99	 .0691	0.00	233	1	100.0	10
22/06/14	12:20 a	29.6	29.7	29.6	61	21.2	5.8	E	3.49	11.6	E	28.7	32.3	31.4	30.8	755.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.7	38	20.0	40.3	6.99	 .0691	0.00	234	1	100.0	10
22/06/14	12:30 a	29.5	29.6	29.5	61	21.2	5.4	E	3.22	10.7	ESE	28.7	32.2	31.4	30.8	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.6	38	20.0	40.2	6.99	 .0691	0.00	234	1	100.0	10
22/06/14	12:40 a	29.6	29.6	29.5	61	21.3	4.5	E	2.68	9.4	ESE	29.1	32.4	31.9	31.3	755.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.6	38	20.0	40.2	6.99	 .0691	0.00	235	1	100.0	10
22/06/14	12:50 a	29.7	29.7	29.6	61	21.3	3.1	E	1.88	6.7	E	29.7	32.6	32.6	31.8	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.079	36.6	38	19.9	40.1	6.99	 .0691	0.00	234	1	100.0	10
22/06/14	1:00 a	29.6	29.7	29.6	61	21.3	4.5	E	2.68	9.4	E	29.1	32.4	31.9	31.3	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.6	38	19.9	40.1	6.99	 .0691	0.13	234	1	100.0	10
22/06/14	1:10 a	29.6	29.6	29.5	61	21.2	4.9	E	2.95	10.3	E	28.9	32.3	31.7	31.0	755.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.6	38	19.9	40.1	6.99	 .0691	0.00	234	1	100.0	10
22/06/14	1:20 a	29.6	29.6	29.5	59	20.7	4.0	E	2.41	9.4	SE	29.2	31.9	31.6	30.9	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.6	38	19.9	40.1	6.99	 .0691	0.00	234	1	100.0	10
22/06/14	1:30 a	29.6	29.6	29.6	59	20.7	5.4	E	3.22	9.8	SE	28.8	31.9	31.2	30.6	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.5	38	19.9	39.9	7.00	 .0691	0.00	234	1	100.0	10
22/06/14	1:40 a	29.5	29.6	29.5	58	20.4	5.4	E	3.22	11.6	SE	28.7	31.7	30.9	30.3	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	36.5	38	19.9	39.9	7.00	 .0691	0.00	234	1	100.0	10
22/06/14	1:50 a	29.4	29.5	29.4	58	20.3	4.5	E	2.68	11.2	ENE	28.9	31.6	31.1	30.4	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.077	36.4	38	19.8	39.8	7.00	 .0691	0.00	235	1	100.0	10
22/06/14	2:00 a	29.3	29.4	29.3	58	20.2	5.4	E	3.22	11.2	E	28.6	31.4	30.6	30.0	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	36.4	38	19.8	39.7	7.00	 .0691	0.13	234	1	100.0	10
22/06/14	2:10 a	29.2	29.3	29.2	59	20.4	4.5	E	2.68	9.4	ENE	28.7	31.4	30.8	30.2	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	36.4	38	19.8	39.7	7.00	 .0691	0.00	234	1	100.0	10
22/06/14	2:20 a	29.2	29.2	29.2	60	20.6	5.4	E	3.22	11.2	SSE	28.3	31.4	30.6	30.0	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.075	36.3	38	19.7	39.6	7.00	 .0692	0.00	234	1	100.0	10
22/06/14	2:30 a	29.1	29.2	29.1	60	20.6	5.4	E	3.22	11.6	ESE	28.3	31.3	30.5	29.9	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.075	36.3	38	19.7	39.6	7.00	 .0691	0.00	234	1	100.0	10
22/06/14	2:40 a	29.1	29.1	29.1	61	20.8	4.5	E	2.68	10.7	ESE	28.5	31.4	30.8	30.2	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	36.3	38	19.7	39.5	7.00	 .0692	0.00	234	1	100.0	10
