		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
03/06/14	12:10 a	27.1	27.1	27.1	73	21.9	2.7	S	1.61	7.2	E	27.1	29.2	29.2	28.5	750.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	34.8	46	21.5	39.2	8.26	 .0689	0.00	233	1	100.0	10
03/06/14	12:20 a	27.1	27.1	27.0	73	21.8	2.7	S	1.61	6.3	ESE	27.1	29.2	29.2	28.4	751.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	34.8	46	21.5	39.2	8.26	 .0689	0.00	234	1	100.0	10
03/06/14	12:30 a	27.1	27.1	27.0	73	21.8	2.2	SSE	1.34	5.4	SE	27.1	29.2	29.2	28.4	750.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	34.8	46	21.5	39.2	8.26	 .0689	0.00	234	1	100.0	10
03/06/14	12:40 a	26.9	27.1	26.9	74	21.9	2.7	E	1.61	5.8	ENE	26.9	29.1	29.1	28.3	751.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.060	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	12:50 a	26.9	26.9	26.9	75	22.1	2.2	SSE	1.34	5.8	E	26.9	29.1	29.1	28.3	751.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.059	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	1:00 a	26.9	26.9	26.9	75	22.1	1.8	SSE	1.07	4.5	E	26.9	29.2	29.2	28.4	751.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.060	34.8	46	21.5	39.2	8.26	 .0690	0.05	235	1	100.0	10
03/06/14	1:10 a	26.8	26.9	26.8	76	22.2	1.8	S	1.07	4.5	SSE	26.8	28.9	28.9	28.2	751.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.059	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	1:20 a	26.7	26.8	26.7	76	22.1	1.8	S	1.07	4.0	SSW	26.7	28.8	28.8	28.1	751.5	0.00	0.0	5	0.07	11	0.0	0.00	0.0	0.000	0.058	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	1:30 a	26.7	26.7	26.7	77	22.3	1.8	S	1.07	4.0	SSW	26.7	28.9	28.9	28.4	751.7	0.00	0.0	17	0.24	23	0.0	0.00	0.0	0.000	0.058	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	1:40 a	26.7	26.7	26.6	77	22.3	1.8	SSE	1.07	4.5	SE	26.7	28.9	28.9	28.6	751.8	0.00	0.0	30	0.43	37	0.0	0.00	0.0	0.000	0.058	34.8	46	21.5	39.2	8.26	 .0690	0.00	234	1	100.0	10
03/06/14	1:50 a	26.7	26.7	26.7	78	22.6	1.8	S	1.07	4.5	SSE	26.7	29.1	29.1	28.9	751.9	0.00	0.0	45	0.65	51	0.0	0.00	0.0	0.000	0.058	34.7	46	21.4	39.1	8.26	 .0691	0.00	234	1	100.0	10
03/06/14	2:00 a	26.8	26.8	26.7	78	22.6	2.2	S	1.34	4.5	SE	26.8	29.2	29.2	29.3	751.9	0.00	0.0	61	0.87	69	0.0	0.00	0.0	0.000	0.059	34.7	46	21.4	39.1	8.26	 .0690	0.05	235	1	100.0	10
03/06/14	2:10 a	26.9	26.9	26.8	78	22.7	2.7	SSE	1.61	5.4	E	26.9	29.4	29.4	29.7	752.0	0.00	0.0	77	1.10	86	0.0	0.00	0.0	0.000	0.059	34.7	46	21.4	39.1	8.26	 .0691	0.00	234	1	100.0	10
