		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
08/04/15	12:15 a	29.3	29.3	29.3	74	24.2	2.7	NNE	2.41	5.4	NNE	29.3	34.3	34.3	33.6	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.114	34.8	46	21.5	39.3	8.26	 .0694	0.00	350	1	100.0	15
08/04/15	12:30 a	29.2	29.3	29.2	74	24.1	2.7	N	2.41	4.0	NNE	29.2	34.2	34.2	33.5	756.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.113	34.8	47	21.8	39.5	8.45	 .0694	0.00	351	1	100.0	15
08/04/15	12:45 a	29.1	29.2	29.1	75	24.2	2.7	NE	2.41	4.5	N	29.1	34.2	34.2	33.5	755.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.112	34.8	47	21.8	39.5	8.45	 .0694	0.00	352	1	100.0	15
08/04/15	1:00 a	29.0	29.1	29.0	75	24.1	2.7	NNE	2.41	4.0	NNW	29.0	33.9	33.9	33.3	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.111	34.7	47	21.8	39.4	8.45	 .0694	0.05	351	1	100.0	15
08/04/15	1:15 a	28.9	29.0	28.9	75	24.1	2.7	N	2.41	4.5	NE	28.9	33.8	33.8	33.2	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.111	34.7	47	21.7	39.3	8.45	 .0694	0.00	351	1	100.0	15
08/04/15	1:30 a	28.8	28.9	28.8	77	24.4	1.8	NNE	1.61	3.1	NNE	28.8	34.0	34.0	33.3	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	34.7	47	21.7	39.3	8.45	 .0694	0.00	351	1	100.0	15
08/04/15	1:45 a	28.8	28.8	28.8	77	24.3	1.3	NE	1.21	2.2	NE	28.8	33.8	33.8	33.2	755.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	34.7	47	21.7	39.3	8.45	 .0694	0.00	352	1	100.0	15
08/04/15	2:00 a	28.8	28.8	28.8	77	24.4	1.8	ENE	1.61	3.1	ENE	28.8	34.0	34.0	33.3	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	34.7	47	21.7	39.3	8.45	 .0693	0.05	351	1	100.0	15
08/04/15	2:15 a	28.7	28.8	28.7	78	24.4	2.2	ENE	2.01	4.0	ENE	28.7	33.7	33.7	33.1	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.108	34.7	47	21.7	39.3	8.45	 .0693	0.00	351	1	100.0	15
